=== t18_belief_cut  35 mm  4.0 s  96 frames at 24 fps  482482 returns ===
    machine: hero surveyor/default skin=player wear=0.35 dmg=0.00 clip=walk
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
    105   4.412   46.28    1.36   23.40       3.9    11.95      6.91
    106   4.454   46.29    1.36   23.40       3.4    11.96      6.95
    107   4.496   46.29    1.36   23.40       3.0    11.96      7.00
    108   4.538   46.29    1.36   23.40       2.6    11.97      7.04
    109   4.580   46.29    1.36   23.40       2.2    11.98      7.08
    110   4.622   46.29    1.36   23.40       1.8    11.98      7.12
    111   4.664   46.30    1.36   23.40       1.5    11.99      7.16
    112   4.706   46.30    1.36   23.40       1.2    11.99      7.21
    113   4.748   46.30    1.36   23.40       0.9    12.00      7.25
    114   4.790   46.30    1.36   23.40       0.7    12.00      7.29
    115   4.832   46.30    1.36   23.40       0.5    12.00      7.33
    116   4.874   46.30    1.36   23.40       0.3    12.00      7.37
    117   4.916   46.30    1.36   23.40       0.1    12.00      7.42
    118   4.958   46.30    1.36   23.40       0.1    12.00      7.46
    119   5.000   46.30    1.36   23.40       0.0    12.00      7.50
    120 frames in 15.8 s = 0.13 s/frame

=== t20_sensor_shadow  35 mm  4.0 s  96 frames at 24 fps  224036 returns ===
    machine: no machine block -- the project's default placement
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
      0   0.000   56.40    0.22   23.80       0.0     1.90      0.62
      1   0.042   56.40    0.22   23.80       0.0     1.90      0.62
      2   0.084   56.40    0.22   23.80       0.0     1.90      0.62
      3   0.126   56.40    0.22   23.80       0.1     1.90      0.62
      4   0.168   56.40    0.22   23.80       0.1     1.90      0.62
      5   0.211   56.40    0.22   23.80       0.2     1.90      0.62
      6   0.253   56.40    0.22   23.80       0.3     1.90      0.62
      7   0.295   56.40    0.22   23.80       0.4     1.90      0.62
      8   0.337   56.40    0.22   23.80       0.5     1.90      0.62
      9   0.379   56.40    0.22   23.80       0.6     1.90      0.62
     10   0.421   56.40    0.22   23.80       0.7     1.90      0.62
     11   0.463   56.40    0.22   23.80       0.9     1.90      0.62
     12   0.505   56.40    0.22   23.80       1.0     1.90      0.62
     13   0.547   56.40    0.22   23.80       1.2     1.90      0.62
     14   0.589   56.41    0.22   23.81       1.4     1.90      0.62
     15   0.632   56.41    0.22   23.81       1.5     1.90      0.62
     16   0.674   56.41    0.22   23.81       1.7     1.90      0.62
     17   0.716   56.41    0.22   23.81       1.9     1.90      0.62
     18   0.758   56.41    0.22   23.81       2.1     1.90      0.62
     19   0.800   56.41    0.22   23.81       2.3     1.90      0.62
     20   0.842   56.42    0.22   23.81       2.5     1.90      0.62
     21   0.884   56.42    0.22   23.81       2.6     1.90      0.62
     22   0.926   56.42    0.22   23.81       2.8     1.90      0.62
     23   0.968   56.42    0.22   23.82       3.0     1.90      0.62
     24   1.011   56.43    0.22   23.82       3.2     1.90      0.62
     25   1.053   56.43    0.22   23.82       3.4     1.90      0.62
     26   1.095   56.43    0.22   23.82       3.6     1.90      0.62
     27   1.137   56.44    0.22   23.82       3.7     1.90      0.62
     28   1.179   56.44    0.22   23.82       3.9     1.90      0.62
     29   1.221   56.44    0.22   23.83       4.1     1.90      0.62
     30   1.263   56.45    0.22   23.83       4.2     1.90      0.62
